ice_type,subset,channels,best_rms_mismatch_db,status,best_roughness_rms_m,best_salinity_ppt,best_ice_thickness_m,obs_L_HH_db,fit_L_HH_db,residual_L_HH_db,obs_L_VV_db,fit_L_VV_db,residual_L_VV_db,obs_S_HH_db,fit_S_HH_db,residual_S_HH_db,obs_S_VV_db,fit_S_VV_db,residual_S_VV_db
MYI,L_only,"L_HH,L_VV",9.465892498455807,clearly outside,0.0011814852045849,4.125,2.1333333333333333,-26.945385302135342,-36.72866094572621,-9.78327564359087,-26.032052223407515,-35.169544180512894,-9.137491957105379,,,,,,
MYI,S_only,"S_HH,S_VV",7.426950108575915,clearly outside,0.0011814852045849,2.3125,1.811111111111111,,,,,,,-19.256026874993456,-27.39694221056441,-8.140915335570956,-19.511670246118612,-26.14828635145552,-6.636616105336909
MYI,L_plus_S,"L_HH,L_VV,S_HH,S_VV",8.535231166162884,clearly outside,0.0011814852045849,4.125,1.1666666666666663,-26.945385302135342,-36.67911365861334,-9.733728356477997,-26.032052223407515,-35.26727495197533,-9.235222728567816,-19.256026874993456,-27.498835845073987,-8.242808970080532,-19.511670246118612,-26.10120573491852,-6.589535488799907
NI,L_only,"L_HH,L_VV",6.404965956991163,clearly outside,0.0011814852045849,4.125,2.455555555555556,-31.897476338992306,-36.74672729283648,-4.849250953844177,-27.501035187188098,-35.1516523522979,-7.650617165109804,,,,,,
NI,S_only,"S_HH,S_VV",1.007542801694065,near/reachable,0.0011814852045849,4.125,1.4888888888888887,,,,,,,-27.6607454101917,-27.573494285401217,0.08725112479048391,-24.677380141607973,-26.09958696050382,-1.422206818895848
NI,L_plus_S,"L_HH,L_VV,S_HH,S_VV",4.589120084401609,marginal,0.0011814852045849,4.125,2.455555555555556,-31.897476338992306,-36.74672729283648,-4.849250953844177,-27.501035187188098,-35.1516523522979,-7.650617165109804,-27.6607454101917,-27.76776774920738,-0.10702233901567837,-24.677380141607973,-26.15435712001796,-1.4769769784099864
TI,L_only,"L_HH,L_VV",6.6407859764056765,clearly outside,0.0011814852045849,4.125,2.455555555555556,-30.98483210736264,-36.74672729283648,-5.761895185473843,-27.73541067335661,-35.1516523522979,-7.41624167894129,,,,,,
TI,S_only,"S_HH,S_VV",5.073835488756357,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,,,,,,,-22.972292791521134,-27.421720397829382,-4.449427606308248,-20.494399521942412,-26.12380509537101,-5.629405573428599
TI,L_plus_S,"L_HH,L_VV,S_HH,S_VV",5.938848579943376,clearly outside,0.0011814852045849,4.125,1.1666666666666663,-30.98483210736264,-36.67911365861334,-5.6942815512507,-27.73541067335661,-35.26727495197533,-7.53186427861872,-22.972292791521134,-27.498835845073987,-4.526543053552853,-20.494399521942412,-26.10120573491852,-5.606806212976107
