incidence_bin,experiment10_joint_rms_db,experiment11_joint_rms_db,L_only_rms_db,S_only_rms_db,best_roughness_rms_m,best_surface_corr_length_m,best_salinity_ppt,best_ice_thickness_m,best_porosity,best_ice_corr_length_m,improvement_vs_experiment10_db
30-33,5.005158365276985,1.5255893845652704,1.44652042899,1.6007575047804923,0.0016045887044368098,0.027882134517724824,14.999996354591545,1.031014269607134,0.2999957581496797,0.0019831843382511305,3.479568980711715
45-48,5.074921956537772,1.0502774984121077,0.8264713843068249,1.2341437105392348,0.002036586395343394,0.021967798192601425,14.999993409648045,0.8470240367905488,0.2999957581496797,0.002040293830254332,4.024644458125665
48-51,6.22384518194158,2.9735926212580996,2.574419450635097,3.3251873100011853,0.0025,0.02,0.5,6.0,0.2,0.001,3.2502525606834802
51-54,5.532818705496366,2.8229998985378333,1.7002686009053347,3.6121660453341082,0.0025,0.02,0.5,6.0,0.2,0.001,2.7098188069585327
