ice_type,status,rms_mismatch_db,best_roughness_rms_m,best_salinity_ppt,best_ice_thickness_m,roughness_at_bound,salinity_at_bound,thickness_at_bound,optimizer_success,optimizer_message,obs_L_HH_db,fit_L_HH_db,residual_L_HH_db,obs_L_HH_inside_scalar_range,obs_L_VV_db,fit_L_VV_db,residual_L_VV_db,obs_L_VV_inside_scalar_range,obs_S_HH_db,fit_S_HH_db,residual_S_HH_db,obs_S_HH_inside_scalar_range,obs_S_VV_db,fit_S_VV_db,residual_S_VV_db,obs_S_VV_inside_scalar_range
MYI,clearly outside,6.960802530501184,0.0011814852045849537,4.125,1.1666666666666665,False,False,False,False,All refinements failed; coarse minimum used.,-28.549333243247407,-36.67911365861334,-8.129780415365932,False,-27.977655076978202,-35.26727495197533,-7.289619874997129,False,-20.542620636326404,-27.498835845073987,-6.956215208747583,False,-20.983562730556557,-26.10120573491852,-5.1176430043619625,False
NI,marginal,2.753116504709851,0.0012446106187007507,0.5000000000001276,0.20000000000000004,False,True,True,True,Both `ftol` and `xtol` termination conditions are satisfied.,-35.2629894711294,-36.409609424490135,-1.1466199533607337,False,-31.699375326945578,-35.466681079475215,-3.767305752529637,False,-31.794029750714774,-28.482561035753232,3.311468714961542,True,-29.371484417735385,-27.4105032976411,1.960981120094285,True
TI,marginal,4.174935968179739,0.0011814852045849537,4.125,1.1666666666666665,False,False,False,False,All refinements failed; coarse minimum used.,-33.28527936413846,-36.67911365861334,-3.3938342944748783,False,-29.533516886390657,-35.26727495197533,-5.733758065584674,False,-24.990663481661713,-27.498835845073987,-2.5081723634122746,False,-21.73825490136477,-26.10120573491852,-4.36295083355375,False
