incidence_bin,experiment11_joint_rms_db,experiment12_joint_rms_db,change_exp12_minus_exp11_db
30-33,1.5255893845652704,3.806448093668393,2.2808587091031227
45-48,1.0502774984121075,3.243814660225722,2.1935371618136146
48-51,2.9735926212581,4.028369006147237,1.054776384889137
51-54,2.8229998985378333,3.4078763914790624,0.5848764929412291
