incidence_bin,incidence_angle_deg,bare_L_only_rms_db,L_only_rms_db,delta_L_vs_bare_db,bare_S_only_rms_db,S_only_rms_db,delta_S_vs_bare_db,bare_L_plus_S_rms_db,L_plus_S_rms_db,delta_joint_vs_bare_db,snow_depth_m,snow_density_kgm3,snow_corr_length_m,n_helpful_snow_states,snow_helpful_for_L_without_large_S_penalty
30-33,32.51126496678771,4.682366847749606,5.035169059370145,0.3528022116205394,2.6558491829693374,2.693563505576176,0.037714322606838824,3.806448093668392,4.037834309070288,0.23138621540189552,0.4,250.0,0.0003,0,False
45-48,47.16071344950986,4.272295606467848,4.652700971613939,0.3804053651460908,1.6709749701136078,1.8687037046593005,0.19772873454569262,3.2438146602257234,3.545397006476474,0.30158234625075053,0.4,250.0,0.0003,0,False
48-51,49.886593950590274,5.645915544137594,6.021885328553379,0.3759697844157852,0.7610199523276843,0.8153356155841988,0.05431566325651449,4.028369006147236,4.29696841251402,0.2685994063667838,0.4,250.0,0.0003,0,False
51-54,51.39909769922632,4.7111919995660285,5.1149355086754715,0.403743509109443,1.0158311584243425,1.1421557847288906,0.1263246263045481,3.407876391479061,3.7058794566539044,0.2980030651748433,0.4,250.0,0.0003,0,False
