ice_type,incidence_bin,incidence_angle_deg,n_observation_pixels,subset,channels,coarse_rms_mismatch_db,refined_rms_mismatch_db,improvement_db,status,best_roughness_rms_m,best_salinity_ppt,best_ice_thickness_m,roughness_at_bound,salinity_at_bound,thickness_at_bound,refinement_selected,optimizer_success,optimizer_message,optimizer_nfev,obs_L_HH_db,fit_L_HH_db,residual_L_HH_db,obs_L_VV_db,fit_L_VV_db,residual_L_VV_db,obs_S_HH_db,fit_S_HH_db,residual_S_HH_db,obs_S_VV_db,fit_S_VV_db,residual_S_VV_db
NI,30-33,32.5485763616286,2869,S_only,"S_HH,S_VV",5.00760642630439,5.00760642630439,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-25.80198350865075,-36.21805198077334,-10.41606847212259,-20.567104052682726,-35.059699124545176,-14.49259507186245,-22.997776046972824,-26.82385759193901,-3.8260815449661862,-19.684020993117176,-25.64332835662841,-5.959307363511233
NI,30-33,32.5485763616286,2869,L_plus_S,"L_HH,L_VV,S_HH,S_VV",9.554329633185118,9.554329633185118,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-25.80198350865075,-36.18808274917571,-10.386099240524963,-20.567104052682726,-34.942252274330414,-14.375148221647688,-22.997776046972824,-26.90440042098426,-3.906624374011436,-19.684020993117176,-25.630717650106064,-5.9466966569888875
NI,33-36,33.459979372419,2055,L_only,"L_HH,L_VV",11.545176589624832,11.545176589624832,0.0,clearly outside,0.0011814852045849,4.125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-27.00279492894948,-36.41866478517608,-9.415869856226596,-21.63737911287657,-34.976179651974746,-13.338800539098177,-24.934859912098485,-27.32218376398471,-2.387323851886226,-21.87137778559316,-25.84110083865891,-3.9697230530657492
NI,33-36,33.459979372419,2055,S_only,"S_HH,S_VV",3.1591925316412506,3.1591925316412506,0.0,marginal,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-27.00279492894948,-36.39303031431832,-9.390235385368836,-21.63737911287657,-35.17919660198416,-13.54181748910759,-24.934859912098485,-27.035332889685957,-2.100472977587472,-21.87137778559316,-25.81460085490848,-3.9432230693153194
NI,33-36,33.459979372419,2055,L_plus_S,"L_HH,L_VV,S_HH,S_VV",8.484286438858678,8.484286438858678,0.0,clearly outside,0.0011814852045849,4.125,1.1666666666666667,False,False,False,False,False,coarse-grid fallback,0,-27.00279492894948,-36.36299914314439,-9.360204214194912,-21.63737911287657,-35.059179086103704,-13.421799973227134,-24.934859912098485,-27.114712009202982,-2.1798520971044972,-21.87137778559316,-25.798536158819537,-3.9271583732263764
NI,36-39,37.23173340507176,3703,L_only,"L_HH,L_VV",10.170240462267463,10.170240462267463,0.0,clearly outside,0.0011814852045849,4.125,3.1,False,False,False,False,False,coarse-grid fallback,0,-28.937644841816667,-37.25828317048041,-8.320638328663744,-23.680792257557705,-35.41256790850912,-11.731775650951413,-27.10792324631185,-28.413490363930343,-1.3055671176184944,-22.863607973245603,-26.59876793209725,-3.7351599588516464
NI,36-39,37.23173340507176,3703,S_only,"S_HH,S_VV",2.6547464543935777,2.6547464543935777,0.0,marginal,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-28.937644841816667,-37.15628997249376,-8.218645130677093,-23.680792257557705,-35.69569752891007,-12.014905271352362,-27.10792324631185,-27.93094033776914,-0.8230170914572916,-22.863607973245603,-26.526666850932354,-3.663058877686751
NI,36-39,37.23173340507176,3703,L_plus_S,"L_HH,L_VV,S_HH,S_VV",7.450540376086544,7.450540376086544,0.0,clearly outside,0.0011814852045849,4.125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-28.937644841816667,-37.19727993804676,-8.259635096230095,-23.680792257557705,-35.460042361237015,-11.77925010367931,-27.10792324631185,-28.29413663773257,-1.186213391420722,-22.863607973245603,-26.559930530178708,-3.6963225569331044
NI,39-42,39.62129279576815,10400,L_only,"L_HH,L_VV",7.340853521908059,7.340853521908059,0.0,clearly outside,0.0011814852045849,4.125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-30.442056055473326,-37.681360161554295,-7.239304106080969,-28.32719954222011,-35.76821673880682,-7.44101719658671,-22.97048743373999,-28.831993668934093,-5.861506235194103,-20.603854936438243,-26.9508947103611,-6.347039773922859
NI,39-42,39.62129279576815,10400,S_only,"S_HH,S_VV",5.924367040589106,5.924367040589106,0.0,clearly outside,0.0011814852045849,2.3125,2.1333333333333333,False,False,False,False,False,coarse-grid fallback,0,-30.442056055473326,-37.643852531933945,-7.201796476460618,-28.32719954222011,-36.027487240095375,-7.700287697875265,-22.97048743373999,-28.45630559451839,-5.4858181607784005,-20.603854936438243,-26.936472781382854,-6.332617844944611
