experiment,n_channels,condition_number,s1,s2
L_only,3,15.798346011936284,7.5250269843779085,0.4763173928898917
S_only,3,2.0757804609191908,5.418836533828996,2.6105056078182
LS_copol,4,9.281644751232168,9.23976865050722,0.9954882887842276
LS_full,6,3.3861670474092143,9.250335159241828,2.7318011869258902
