ice_type,status,best_rms_mismatch_db,best_half_sum_squared_1db,best_roughness_rms_m,best_salinity_ppt,best_ice_thickness_m,roughness_at_bound,salinity_at_bound,thickness_at_bound,optimizer_success,optimizer_message,optimizer_nfev,obs_L_HH_db,fit_L_HH_db,residual_L_HH_db,obs_L_HH_inside_scalar_range,obs_L_VV_db,fit_L_VV_db,residual_L_VV_db,obs_L_VV_inside_scalar_range,obs_S_HH_db,fit_S_HH_db,residual_S_HH_db,obs_S_HH_inside_scalar_range,obs_S_VV_db,fit_S_VV_db,residual_S_VV_db,obs_S_VV_inside_scalar_range
MYI,clearly outside,7.760892686192733,120.46291057319971,0.0009999999210675153,2.210568590332157,3.466489018208505,True,False,False,True,Both `ftol` and `xtol` termination conditions are satisfied.,20,-28.549333243247407,-37.509137883942415,-8.959804640695008,False,-27.977655076978202,-36.28148366644769,-8.30382858946949,False,-20.542620636326404,-28.1180640978841,-7.575443461557697,False,-20.983562730556557,-26.840764200920326,-5.857201470363769,False
NI,marginal,3.103565787585746,19.264241195745463,0.0009999999414671624,10.562499999487947,1.0656857845644259,True,True,False,True,`xtol` termination condition is satisfied.,24,-35.2629894711294,-37.81796378086231,-2.5549743097329056,False,-31.699375326945578,-35.91119412350345,-4.211818796557871,False,-31.794029750714774,-28.841209024626185,2.9528207260885893,True,-29.371484417735385,-27.01733470868134,2.3541497090540453,True
TI,marginal,4.974837221869185,49.49801076819023,0.000999999927832888,2.5792218649643153,3.457206167444271,True,False,False,True,`xtol` termination condition is satisfied.,19,-33.28527936413846,-37.495018472036115,-4.209739107897654,False,-29.533516886390657,-36.21355965082017,-6.6800427644295155,False,-24.990663481661713,-28.211413865503665,-3.2207503838419527,False,-21.73825490136477,-26.864453669476703,-5.126198768111934,False
